feature,mean_abs_shap,method
CHL_Gigantes_roll7mean,0.07997839,cross_location_regression
so_Roxas_roll30mean,0.051104896,cross_location_regression
CHL_anomaly_Gigantes,0.031021787,cross_location_regression
CHL_Gigantes_roll14mean,0.026878443,cross_location_regression
so_Roxas_roll7mean,0.023870451,cross_location_regression
CHL_Gigantes_roll30mean,0.02313597,cross_location_regression
Delta_thetao,0.019667001,cross_location_regression
mlotst_Gigantes,0.011210656,cross_location_regression
CHL_Gigantes_roll30std,0.010534828,cross_location_regression
thetao_Roxas_roll14std,0.007920931,cross_location_regression
Delta_uo,0.0071940916,cross_location_regression
CHL_Roxas,0.0068850736,cross_location_regression
thetao_Gigantes,0.006790694,cross_location_regression
thetao_Roxas_roll7mean,0.0055425963,cross_location_regression
so_Gigantes,0.005327926,cross_location_regression
